Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
NH12-843_MyoD_Day5	42485862.0	3084181.0	7621.0	42620.0	740522.0	37292.0
OUN_HK018_0047	91501214.0	7232472.0	7935.0	39418.0	1773815.0	197091.0
OUN_HK047_0116	82861471.0	5112773.0	6410.0	30236.0	1572259.0	151179.0
OUN_HK079_001	79100137.0	5244649.0	2639.0	20791.0	1060331.0	103954.0
OUN_HK080_001	82693008.0	5825541.0	4791.0	44647.0	1785887.0	223236.0
OUN_HK081_001	97492957.0	6398708.0	5127.0	29369.0	1703430.0	146847.0
OUN_HK112_001	92543874.0	6195476.0	12771.0	38360.0	1611131.0	230162.0
OUN_HK116_001	89029963.0	5315458.0	4149.0	26770.0	2302256.0	133852.0
OUN_HK124_001	48051681.0	2765971.0	2091.0	30836.0	1079242.0	185013.0
OUN_HK137_001	81246720.0	4041480.0	4147.0	23199.0	1763131.0	185593.0
RGP_248_3	50640216.0	3542697.0	2696.0	9856.0	1320752.0	39425.0
RGP_273_3	58739098.0	3182634.0	2552.0	22621.0	1040584.0	135728.0
RGP_54_3_2	54838690.0	3366527.0	3906.0	122600.0	809162.0	73560.0
RGP_552_3	48936810.0	3988392.0	6220.0	268865.0	1564930.0	34470.0
RGP_554_3_2	67731555.0	9023452.0	12641.0	53876.0	969760.0	242440.0
RGP_558_3	69971598.0	11957868.0	10006.0	33649.0	874876.0	201895.0
RGP_56_3_3	38458251.0	2695097.0	4349.0	67684.0	490711.0	50763.0
RGP_7_1_2	41755751.0	2128443.0	2413.0	93793.0	572140.0	37517.0
RGP_7_2_2	41368774.0	1838687.0	4201.0	92506.0	518031.0	37002.0
RGP_7_3_2	44736538.0	2733624.0	3411.0	90525.0	531834.0	45263.0
RGP_7_4_2	33637043.0	2028399.0	3802.0	305286.0	2734858.0	16960.0
RGP_7_5_2	41523690.0	2042072.0	3105.0	86942.0	483009.0	38641.0
RGP_800_3_2	21888649.0	967917.0	673.0	8077.0	479258.0	10770.0
RGP_94_3_2	37577778.0	9209551.0	10671.0	17722.0	868383.0	97472.0
RGP_94_4_2	37721106.0	8651652.0	10394.0	30323.0	849045.0	90969.0
